circuit,qubit_count,channel,param,depth,fidelity,success_probability,error_rate
bell_phi_plus,2,amplitude_damping,1.0,2,0.4999999999999999,1.0,0.0
bell_phi_plus,2,phase_damping,0.0,2,0.9999999999999998,1.0,0.0
bell_phi_plus,2,phase_damping,0.1,2,0.905000005195934,1.0,0.0
bell_phi_plus,2,phase_damping,0.2,2,0.8200000068080192,1.0,0.0
bell_phi_plus,2,phase_damping,0.3,2,0.7450000077237076,1.0,0.0
bell_phi_plus,2,phase_damping,0.4,2,0.6800000082662214,1.0,0.0
bell_phi_plus,2,phase_damping,0.5,2,0.625000008578932,1.0,0.0
bell_phi_plus,2,phase_damping,0.6,2,0.5800000087461364,1.0,0.0
bell_phi_plus,2,phase_damping,0.7,2,0.5450000088243263,1.0,0.0
bell_phi_plus,2,phase_damping,0.8,2,0.520000008853192,1.0,0.0
bell_phi_plus,2,phase_damping,0.9,2,0.5050000088598401,1.0,0.0
bell_phi_plus,2,phase_damping,1.0,2,0.5000000088602834,1.0,0.0
bell_phi_plus,2,bit_flip,0.0,4,0.9999999999999998,1.0,0.0
bell_phi_plus,2,bit_flip,0.1,4,0.5838860799999993,0.5732421875,0.4267578125
bell_phi_plus,2,bit_flip,0.2,4,0.5083980799999992,0.49853515625,0.50146484375
bell_phi_plus,2,bit_flip,0.3,4,0.5003276799999997,0.489501953125,0.510498046875
bell_phi_plus,2,bit_flip,0.4,4,0.5000012800000003,0.489501953125,0.510498046875
bell_phi_plus,2,bit_flip,0.5,4,0.5000000000000009,0.489501953125,0.510498046875
bell_phi_plus,2,bit_flip,0.6,4,0.5000012800000003,0.489501953125,0.510498046875
bell_phi_plus,2,bit_flip,0.7,4,0.5003276800000004,0.489501953125,0.510498046875
bell_phi_plus,2,bit_flip,0.8,4,0.5083980799999991,0.49853515625,0.50146484375
bell_phi_plus,2,bit_flip,0.9,4,0.5838860799999993,0.5732421875,0.4267578125
bell_phi_plus,2,bit_flip,1.0,4,0.9999999999999998,1.0,0.0
bell_phi_plus,2,phase_flip,0.0,4,0.9999999999999998,1.0,0.0
